timestamp, frame, x, y, z, qx, qy, qz, qw
465188.789688666, 000130, -3.9905171, 0.80266553, -1.057604, 0.20319594, 0.116230085, -0.9718977, 0.024834936
465188.823035625, 000131, -3.9975533, 0.80277926, -1.0507667, 0.19854648, 0.11842093, -0.9725617, 0.026064724
465188.856382708, 000132, -4.00463, 0.8028839, -1.0442708, 0.19431734, 0.12006454, -0.97319204, 0.026878064
465188.889729791, 000133, -4.0143275, 0.803173, -1.0363879, 0.19078608, 0.121047094, -0.973744, 0.027765624
465188.923076916, 000134, -4.0223317, 0.8033434, -1.0297208, 0.18735155, 0.122528635, -0.9741885, 0.029031623
465188.956424125, 000135, -4.0296807, 0.8033762, -1.0237086, 0.18280296, 0.12363744, -0.9748724, 0.030340709
465188.989771041, 000136, -4.040131, 0.8030605, -1.0165325, 0.17688896, 0.12414511, -0.97585577, 0.03168108
465189.02311825, 000137, -4.048129, 0.80273956, -1.0105841, 0.17131077, 0.1246331, -0.9767799, 0.031942844
465189.056465333, 000138, -4.055266, 0.8023167, -1.0048506, 0.16646373, 0.12566751, -0.97750145, 0.03144014
465189.089812416, 000139, -4.0649824, 0.80267215, -0.9970197, 0.16167991, 0.12579228, -0.9783119, 0.030686993
465189.123159541, 000140, -4.0725727, 0.8024758, -0.99105304, 0.15546566, 0.12551372, -0.9793588, 0.030544985
465189.156506541, 000141, -4.0797625, 0.8021314, -0.9857028, 0.14752644, 0.12543519, -0.9805934, 0.030634636
465189.18985375, 000142, -4.0903025, 0.8017873, -0.97827023, 0.14037627, 0.12561904, -0.9816381, 0.030018248
465189.223200833, 000143, -4.098961, 0.80118644, -0.97190934, 0.13463163, 0.1255381, -0.9824932, 0.028662045
465189.256547833, 000144, -4.107274, 0.8007604, -0.96605176, 0.12735277, 0.12562321, -0.9834703, 0.028038174
465189.289894958, 000145, -4.116833, 0.8005427, -0.9587558, 0.119802564, 0.12589398, -0.98439336, 0.027709858
465189.323242125, 000146, -4.125879, 0.8004182, -0.95224136, 0.11264352, 0.12652291, -0.9851772, 0.027002946
465189.356589125, 000147, -4.1347237, 0.8005619, -0.94644004, 0.10478289, 0.12742585, -0.9859544, 0.026020357
465189.389936208, 000148, -4.142392, 0.80053127, -0.94165, 0.09757093, 0.12833291, -0.98662716, 0.024028601
465189.423283333, 000149, -4.1511374, 0.8010039, -0.9363727, 0.08976385, 0.12851246, -0.9873914, 0.022022894
465189.456630458, 000150, -4.1600885, 0.80184966, -0.93116874, 0.08144978, 0.12877305, -0.98811233, 0.020432627
465189.4899775, 000151, -4.166792, 0.80265003, -0.9276765, 0.07379366, 0.1282669, -0.9888165, 0.01854641
465189.523324583, 000152, -4.174844, 0.8037107, -0.9233864, 0.06699137, 0.12703632, -0.9895026, 0.016078146
465189.55667175, 000153, -4.1830664, 0.8048052, -0.91915625, 0.05876202, 0.12557068, -0.990241, 0.0142082935
465189.590018666, 000154, -4.189599, 0.805747, -0.9155386, 0.05010577, 0.12474936, -0.99084204, 0.012608258
465189.623365791, 000155, -4.197122, 0.8061676, -0.91109616, 0.04160346, 0.12495394, -0.9912311, 0.010790807
465189.656712833, 000156, -4.204728, 0.8062363, -0.9064247, 0.03264414, 0.12602046, -0.9914472, 0.009248252
465189.690060041, 000157, -4.211209, 0.8066488, -0.9028825, 0.023439337, 0.1277113, -0.9915022, 0.00798741
465189.723407041, 000158, -4.2177386, 0.8065588, -0.89884126, 0.014541547, 0.12925051, -0.9914848, 0.0063794367
465189.756754166, 000159, -4.224052, 0.8063815, -0.8948901, 0.00601112, 0.13030496, -0.9914457, 0.004449893
465189.790101208, 000160, -4.229811, 0.8068265, -0.89246225, -0.0020222736, 0.13033614, -0.99146485, 0.0024008167
465189.823448333, 000161, -4.2352605, 0.806641, -0.888712, -0.009992753, 0.13108175, -0.99132097, 0.0006212395
465189.856795541, 000162, -4.24021, 0.806322, -0.8842307, -0.017863143, 0.13188985, -0.9911034, -9.795897e-05
465189.8901425, 000163, -4.2458587, 0.80546135, -0.8786656, -0.026316416, 0.1320956, -0.9908875, 0.0001739682
465189.923489625, 000164, -4.2503924, 0.8049568, -0.87327164, -0.034365334, 0.13228421, -0.99061584, 0.00030451838
